raceId,driverId,stintNumber,compound,startLap,lapCount,tyreAgeAtStart,teamName
989,1,1,ULTRASOFT,3,17,4,Mercedes
989,1,2,SOFT,20,39,1,Mercedes
989,4,1,ULTRASOFT,2,25,1,McLaren
989,4,2,SOFT,27,32,1,McLaren
989,8,1,ULTRASOFT,2,17,4,Ferrari
989,8,2,SOFT,19,40,1,Ferrari
989,20,1,ULTRASOFT,2,25,4,Ferrari
989,20,2,SOFT,27,32,1,Ferrari
989,154,1,ULTRASOFT,2,23,4,Haas F1 Team
989,807,1,ULTRASOFT,2,23,4,Renault
989,807,2,SOFT,25,34,1,Renault
989,815,1,ULTRASOFT,2,23,1,Force India
989,815,2,SOFT,25,34,1,Force India
989,817,1,SUPERSOFT,2,25,4,Red Bull Racing
989,817,2,SOFT,27,32,1,Red Bull Racing
989,822,1,ULTRASOFT,2,24,4,Mercedes
989,822,2,SUPERSOFT,26,33,1,Mercedes
989,825,1,ULTRASOFT,2,21,4,Haas F1 Team
989,828,1,SUPERSOFT,2,5,1,Sauber
989,830,1,SUPERSOFT,2,20,4,Red Bull Racing
989,830,2,SOFT,22,37,1,Red Bull Racing
989,832,1,ULTRASOFT,2,21,4,Renault
989,832,2,SOFT,23,36,1,Renault
989,838,1,ULTRASOFT,2,24,1,McLaren
989,838,2,SUPERSOFT,26,33,1,McLaren
989,839,1,ULTRASOFT,2,22,1,Force India
989,839,2,SOFT,24,35,1,Force India
989,840,1,SUPERSOFT,2,24,1,Williams
989,840,2,SOFT,26,4,1,Williams
989,840,3,ULTRASOFT,30,29,1,Williams
989,842,1,ULTRASOFT,2,13,1,Toro Rosso
989,843,2,SOFT,2,23,1,Toro Rosso
989,843,3,ULTRASOFT,25,33,1,Toro Rosso
989,844,1,SUPERSOFT,2,19,1,Sauber
989,844,2,SOFT,21,7,1,Sauber
989,844,3,ULTRASOFT,28,31,1,Sauber
989,845,1,SUPERSOFT,2,4,1,Williams
990,1,1,SOFT,2,25,4,Mercedes
990,1,2,MEDIUM,27,31,1,Mercedes
990,4,1,SOFT,2,13,1,McLaren
990,4,2,MEDIUM,15,25,1,McLaren
990,4,3,SUPERSOFT,40,17,1,McLaren
990,8,1,SUPERSOFT,2,18,4,Ferrari
990,8,2,SOFT,20,15,1,Ferrari
990,20,1,SUPERSOFT,3,16,4,Ferrari
990,20,2,SOFT,19,39,1,Ferrari
990,154,1,SUPERSOFT,2,17,1,Haas F1 Team
990,154,2,SOFT,19,12,1,Haas F1 Team
990,154,3,SUPERSOFT,31,15,1,Haas F1 Team
990,154,4,SUPERSOFT,46,11,1,Haas F1 Team
990,807,1,SUPERSOFT,2,14,4,Renault
990,807,2,SOFT,16,24,1,Renault
990,807,3,SUPERSOFT,40,18,4,Renault
990,815,1,SOFT,2,8,1,Force India
990,815,2,MEDIUM,10,23,1,Force India
990,815,3,SUPERSOFT,33,24,1,Force India
990,822,1,SUPERSOFT,2,19,4,Mercedes
990,822,2,MEDIUM,21,37,1,Mercedes
990,825,1,SUPERSOFT,2,12,4,Haas F1 Team
