raceId,avg_airtemp,avg_tracktemp,avg_humidity,avg_pressure,avg_windspeed,rainfall
989,24.08,36.32,30.92,997.0,3.69,True
990,27.98,32.2,47.36,1009.49,0.96,False
991,19.45,37.02,24.09,1018.13,1.84,True
992,16.66,25.25,45.65,1021.91,2.22,False
993,16.05,32.34,52.29,1001.54,1.95,True
994,26.64,34.61,50.89,1015.21,1.38,True
995,20.52,36.95,27.83,1017.52,2.47,False
996,24.55,42.03,49.05,966.26,1.82,True
997,23.18,45.88,37.14,936.11,2.48,False
998,27.43,52.17,38.74,1008.3,1.46,False
999,26.4,40.67,54.81,1001.4,2.01,True
1000,33.76,51.09,33.01,983.53,1.14,False
1001,17.33,27.9,37.7,966.91,2.04,False
1002,22.19,30.82,63.81,995.22,2.12,True
1003,29.87,33.12,66.04,1007.81,1.98,False
1004,24.78,29.95,61.31,1016.53,2.0,True
1005,28.26,37.17,50.52,1008.19,1.79,False
1006,21.93,30.49,37.56,1005.9,2.09,False
1007,20.12,34.47,50.71,784.19,1.56,False
1008,23.77,40.07,75.41,923.93,2.19,False
1009,31.27,33.32,45.44,1013.11,2.16,True
1010,23.48,41.31,70.45,1015.33,1.17,False
1011,26.21,28.61,53.37,1003.44,2.71,False
1012,19.33,27.34,45.98,1019.22,3.32,False
1013,19.76,39.65,51.41,1013.78,1.25,False
1014,20.15,40.73,54.72,1006.79,1.93,False
1015,22.75,32.73,52.7,1010.91,0.9,True
1016,29.37,51.1,16.15,1022.11,1.31,False
1017,26.89,54.53,39.09,966.72,1.68,False
1018,34.44,50.74,17.97,940.89,1.23,False
1019,18.91,30.32,62.14,1006.33,2.01,False
1020,21.5,26.44,87.83,991.63,1.01,True
1021,25.66,44.1,33.89,986.48,1.19,False
1022,17.4,28.12,57.03,968.26,2.04,False
1023,21.1,33.04,51.57,989.24,1.57,False
1024,29.97,35.75,66.46,1010.94,1.86,False
1025,22.03,34.33,67.42,1016.78,1.87,True
1026,21.62,32.18,57.48,1009.14,5.47,False
1027,23.2,41.63,46.29,780.51,1.33,False
1028,21.48,29.08,29.24,1001.48,2.55,False
1029,21.02,46.45,60.29,924.79,1.29,False
1030,26.02,29.57,64.47,1015.38,1.26,False
1031,28.68,52.02,33.83,938.77,1.89,False
1032,20.82,39.92,34.01,945.91,2.23,True
1033,20.74,27.13,77.19,986.31,1.56,True
1034,21.29,40.63,44.17,998.41,3.11,False
1035,25.29,43.23,58.56,1000.95,2.24,False
1036,29.8,47.56,56.38,997.7,1.54,False
1037,18.57,29.82,54.85,962.43,1.47,False
1038,28.09,41.2,40.12,990.78,1.52,False
1039,30.17,43.1,39.94,993.62,2.36,False
1040,28.81,40.34,51.36,1012.88,1.43,False
1041,9.5,16.36,59.4,947.36,1.62,True
1042,20.51,25.72,67.53,1007.34,4.04,False
1043,18.03,23.26,71.14,1017.89,1.34,False
1044,13.1,15.21,80.16,1008.5,1.07,True
1045,25.1,27.55,67.85,1015.9,0.84,False
1046,20.95,23.47,58.17,1015.94,1.95,False
1047,23.12,27.98,55.45,1015.85,2.5,False
1051,26.42,30.6,75.54,1012.31,0.42,True
1052,20.54,27.63,54.52,1014.91,0.89,False
1053,10.62,16.83,69.49,1011.25,0.48,True
1054,19.39,38.95,39.4,1004.81,0.84,False
1055,22.2,32.92,57.55,993.57,0.46,False
1056,20.76,37.6,61.42,1015.57,0.32,False
1057,24.17,38.31,55.81,1014.73,0.28,False
1058,26.69,52.35,33.25,938.48,0.37,False
1059,25.31,35.23,58.63,960.64,1.17,False
1060,20.97,33.18,49.73,934.72,0.35,True
1061,29.4,50.93,37.2,1007.25,0.32,False
1062,27.23,37.82,68.62,977.63,0.57,True
1063,13.01,15.26,96.44,970.22,0.51,True
1064,21.5,36.11,54.11,1021.51,0.44,False
1065,28.89,43.53,33.28,994.49,0.34,False
1066,19.14,21.76,61.95,1023.13,0.29,True
1067,15.83,18.18,93.52,1006.41,0.49,False
1069,28.15,37.47,61.19,992.13,0.85,False
1070,21.21,47.58,31.21,784.21,0.37,False
1071,23.14,51.56,60.1,926.93,0.39,False
1072,28.82,31.68,76.2,1013.8,0.27,False
1073,24.52,28.47,59.05,1017.71,0.41,False
1074,23.62,28.61,29.49,1010.39,0.3,False
1075,25.42,28.41,59.66,1012.78,2.36,False
1076,26.7,37.41,43.65,1014.25,1.81,False
1077,12.9,17.42,83.17,1001.04,1.48,False
1078,30.62,42.82,58.86,1009.3,2.27,True
1079,36.57,48.96,7.11,996.02,3.49,False
1080,22.27,31.04,75.67,1002.99,0.99,True
1081,25.44,47.15,59.49,1009.9,1.53,False
1082,20.76,41.26,28.93,1012.4,3.55,False
1083,18.25,30.03,59.75,1002.36,1.46,True
1084,20.26,30.75,35.14,939.71,1.26,False
1085,30.16,54.46,47.73,967.91,1.95,False
1086,18.56,26.72,69.32,985.58,4.03,True
1087,21.79,36.08,40.52,971.05,1.52,False
1088,22.73,33.45,75.38,1017.11,1.06,False
1089,27.73,43.14,33.15,993.34,1.36,False
1091,26.23,28.97,87.45,1008.14,0.93,True
1092,16.72,19.93,86.21,1015.71,2.04,True
1093,29.29,35.52,49.62,991.2,5.49,False
1094,24.31,41.69,34.44,780.41,1.34,False
1095,23.01,46.05,76.08,922.16,1.44,False
1096,28.58,34.31,61.68,1013.52,2.61,False
1098,27.43,31.01,21.5,1016.86,0.68,False
1099,26.09,31.79,57.79,1010.93,1.77,False
1100,17.45,30.14,54.16,1018.37,1.13,False
1101,24.86,41.21,49.22,1008.65,1.08,False
1102,27.12,36.69,59.43,1018.38,3.97,False
1104,25.07,39.26,45.86,1013.36,1.01,True
1105,22.67,33.84,63.08,1001.09,1.87,False
1106,18.53,30.59,63.9,1011.55,1.94,False
